"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2022-03-01 00:00:35","2022-03-01 00:10:36","3","31","2022-03-01 00:10:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:00:35","2022-03-01 00:10:36","5","3","2022-03-01 00:10:36"
"2","계동길 69","계동교회 앞","2022-03-01 00:10:36","2022-03-01 00:20:38","13","43","2022-03-01 00:20:38"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:10:36","2022-03-01 00:20:38","15","11","2022-03-01 00:20:38"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:20:39","2022-03-01 00:30:36","29","17","2022-03-01 00:30:36"
"2","계동길 69","계동교회 앞","2022-03-01 00:20:39","2022-03-01 00:30:36","20","69","2022-03-01 00:30:36"
"2","계동길 69","계동교회 앞","2022-03-01 00:30:36","2022-03-01 00:40:36","34","82","2022-03-01 00:40:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:30:36","2022-03-01 00:40:36","30","18","2022-03-01 00:40:36"
"2","계동길 69","계동교회 앞","2022-03-01 00:40:36","2022-03-01 00:50:36","38","116","2022-03-01 00:50:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:40:36","2022-03-01 00:50:36","48","20","2022-03-01 00:50:36"
"2","계동길 69","계동교회 앞","2022-03-01 00:50:36","2022-03-01 01:00:36","40","147","2022-03-01 01:00:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 00:50:36","2022-03-01 01:00:36","48","20","2022-03-01 01:00:36"
"2","계동길 69","계동교회 앞","2022-03-01 01:00:36","2022-03-01 01:10:39","48","180","2022-03-01 01:10:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:00:36","2022-03-01 01:10:39","48","21","2022-03-01 01:10:39"
"2","계동길 69","계동교회 앞","2022-03-01 01:10:39","2022-03-01 01:20:36","51","211","2022-03-01 01:20:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:10:39","2022-03-01 01:20:36","48","21","2022-03-01 01:20:36"
"2","계동길 69","계동교회 앞","2022-03-01 01:20:36","2022-03-01 01:30:36","54","227","2022-03-01 01:30:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:20:36","2022-03-01 01:30:36","48","21","2022-03-01 01:30:36"
"2","계동길 69","계동교회 앞","2022-03-01 01:30:36","2022-03-01 01:40:36","57","243","2022-03-01 01:40:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:30:36","2022-03-01 01:40:36","48","21","2022-03-01 01:40:36"
"2","계동길 69","계동교회 앞","2022-03-01 01:40:36","2022-03-01 01:50:36","66","266","2022-03-01 01:50:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:40:36","2022-03-01 01:50:36","58","26","2022-03-01 01:50:36"
"2","계동길 69","계동교회 앞","2022-03-01 01:50:36","2022-03-01 02:00:39","78","291","2022-03-01 02:00:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 01:50:36","2022-03-01 02:00:39","58","26","2022-03-01 02:00:39"
"2","계동길 69","계동교회 앞","2022-03-01 02:00:39","2022-03-01 02:10:36","83","323","2022-03-01 02:10:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:00:39","2022-03-01 02:10:36","58","28","2022-03-01 02:10:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:10:36","2022-03-01 02:20:36","62","30","2022-03-01 02:20:36"
"2","계동길 69","계동교회 앞","2022-03-01 02:10:36","2022-03-01 02:20:36","93","355","2022-03-01 02:20:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:20:36","2022-03-01 02:30:36","62","30","2022-03-01 02:30:36"
"2","계동길 69","계동교회 앞","2022-03-01 02:20:36","2022-03-01 02:30:36","101","375","2022-03-01 02:30:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:30:36","2022-03-01 02:40:36","62","30","2022-03-01 02:40:36"
"2","계동길 69","계동교회 앞","2022-03-01 02:30:36","2022-03-01 02:40:36","116","414","2022-03-01 02:40:36"
"2","계동길 69","계동교회 앞","2022-03-01 02:40:36","2022-03-01 02:50:39","124","430","2022-03-01 02:50:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:40:36","2022-03-01 02:50:39","62","30","2022-03-01 02:50:39"
"2","계동길 69","계동교회 앞","2022-03-01 02:50:39","2022-03-01 03:00:36","151","482","2022-03-01 03:00:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 02:50:39","2022-03-01 03:00:36","62","30","2022-03-01 03:00:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:00:36","2022-03-01 03:10:36","184","533","2022-03-01 03:10:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:00:36","2022-03-01 03:10:36","62","30","2022-03-01 03:10:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:10:36","2022-03-01 03:20:36","187","544","2022-03-01 03:20:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:10:36","2022-03-01 03:20:36","62","30","2022-03-01 03:20:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:20:36","2022-03-01 03:30:36","199","556","2022-03-01 03:30:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:20:36","2022-03-01 03:30:36","62","30","2022-03-01 03:30:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:30:36","2022-03-01 03:40:39","242","615","2022-03-01 03:40:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:30:36","2022-03-01 03:40:39","62","30","2022-03-01 03:40:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:40:39","2022-03-01 03:50:36","62","30","2022-03-01 03:50:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:40:39","2022-03-01 03:50:36","281","629","2022-03-01 03:50:36"
"2","계동길 69","계동교회 앞","2022-03-01 03:50:36","2022-03-01 04:00:36","334","666","2022-03-01 04:00:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 03:50:36","2022-03-01 04:00:36","62","30","2022-03-01 04:00:36"
"2","계동길 69","계동교회 앞","2022-03-01 04:00:36","2022-03-01 04:10:36","465","777","2022-03-01 04:10:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 04:00:36","2022-03-01 04:10:36","62","30","2022-03-01 04:10:36"
"2","계동길 69","계동교회 앞","2022-03-01 04:10:36","2022-03-01 04:20:36","730","960","2022-03-01 04:20:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 04:10:36","2022-03-01 04:20:36","85","46","2022-03-01 04:20:36"
"2","계동길 69","계동교회 앞","2022-03-01 04:20:36","2022-03-01 04:30:39","945","1106","2022-03-01 04:30:39"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 04:20:36","2022-03-01 04:30:39","85","55","2022-03-01 04:30:39"
"2","계동길 69","계동교회 앞","2022-03-01 04:30:39","2022-03-01 04:40:36","1098","1206","2022-03-01 04:40:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 04:30:39","2022-03-01 04:40:36","91","58","2022-03-01 04:40:36"
"2","계동길 69","계동교회 앞","2022-03-01 04:40:36","2022-03-01 04:50:36","1170","1278","2022-03-01 04:50:36"
"1","율곡로3길 50","덕성여고 앞","2022-03-01 04:40:36","2022-03-01 04:50:36","91","58","2022-03-01 04:50:36"
"2","계동길 69","계동교회 앞","2022-03-01 04:50:36","2022-03-01 05:00:36","1204","1337","2022-03-01 05:00:36"
