"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2022-09-01 00:00:40","2022-09-01 00:10:40","28","48","2022-09-01 00:10:40"
"2","계동길 69","계동교회 앞","2022-09-01 00:10:40","2022-09-01 00:20:40","48","99","2022-09-01 00:20:40"
"2","계동길 69","계동교회 앞","2022-09-01 00:20:40","2022-09-01 00:30:40","56","131","2022-09-01 00:30:40"
"2","계동길 69","계동교회 앞","2022-09-01 00:30:40","2022-09-01 00:40:40","64","166","2022-09-01 00:40:40"
"2","계동길 69","계동교회 앞","2022-09-01 00:40:40","2022-09-01 00:50:40","77","221","2022-09-01 00:50:40"
"2","계동길 69","계동교회 앞","2022-09-01 00:50:40","2022-09-01 01:00:40","82","246","2022-09-01 01:00:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:00:40","2022-09-01 01:10:40","87","259","2022-09-01 01:10:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:10:40","2022-09-01 01:20:40","94","322","2022-09-01 01:20:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:20:40","2022-09-01 01:30:40","95","343","2022-09-01 01:30:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:30:40","2022-09-01 01:40:40","104","391","2022-09-01 01:40:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:40:40","2022-09-01 01:50:40","120","414","2022-09-01 01:50:40"
"2","계동길 69","계동교회 앞","2022-09-01 01:50:40","2022-09-01 02:00:40","126","443","2022-09-01 02:00:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:00:40","2022-09-01 02:10:40","130","475","2022-09-01 02:10:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:10:40","2022-09-01 02:20:40","130","493","2022-09-01 02:20:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:20:40","2022-09-01 02:30:40","135","524","2022-09-01 02:30:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:30:40","2022-09-01 02:40:40","146","588","2022-09-01 02:40:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:40:40","2022-09-01 02:50:40","148","609","2022-09-01 02:50:40"
"2","계동길 69","계동교회 앞","2022-09-01 02:50:40","2022-09-01 03:00:40","149","633","2022-09-01 03:00:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:00:40","2022-09-01 03:10:40","156","685","2022-09-01 03:10:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:10:40","2022-09-01 03:20:40","163","737","2022-09-01 03:20:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:20:40","2022-09-01 03:30:40","168","758","2022-09-01 03:30:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:30:40","2022-09-01 03:40:40","178","822","2022-09-01 03:40:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:40:40","2022-09-01 03:50:40","193","879","2022-09-01 03:50:40"
"2","계동길 69","계동교회 앞","2022-09-01 03:50:40","2022-09-01 04:00:40","199","897","2022-09-01 04:00:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:00:40","2022-09-01 04:10:40","204","912","2022-09-01 04:10:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:10:40","2022-09-01 04:20:40","209","944","2022-09-01 04:20:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:20:40","2022-09-01 04:30:40","215","983","2022-09-01 04:30:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:30:40","2022-09-01 04:40:40","216","998","2022-09-01 04:40:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:40:40","2022-09-01 04:50:40","225","1037","2022-09-01 04:50:40"
"2","계동길 69","계동교회 앞","2022-09-01 04:50:40","2022-09-01 05:00:40","231","1067","2022-09-01 05:00:40"
"2","계동길 69","계동교회 앞","2022-09-01 05:00:40","2022-09-01 05:10:40","243","1117","2022-09-01 05:10:40"
